GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,ICTS 3E +ID+AS Success,ICTS 3E +ID+AS Runtime,ICTS 3E +ID+AS Solution Cost,ICTS 3E +ID+AS Expanded,ICTS 3E +ID+AS Generated,ICTS 3E +ID+AS Max Group Size,ICTS 3E +ID+AS Min Group Size,ICTS 3E +ID+AS Max Group,ICTS 3E +ID+AS Solution Depth,EPEA*+ID+AS Success,EPEA*+ID+AS Runtime,EPEA*+ID+AS Solution Cost,EPEA*+ID+AS Expanded,EPEA*+ID+AS Generated,EPEA*+ID+AS Max Group Size,EPEA*+ID+AS Min Group Size,EPEA*+ID+AS Max Group,EPEA*+ID+AS Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,
warehouse-10-20-10-2-1,63,161,2,4444,1,25,0.4381347,28,52,4,43.66667,51.66667,0.005718229,0.000350938761186173,1,653.5927,56,56,91,1,1,1,0,1,20.1303,56,56,91,1,1,1,0,1,20.3327,56,56,91,1,1,1,0,1,19.4928,56,56,91,1,1,1,0,
warehouse-10-20-10-2-1,63,161,3,4444,1,125,0.4381347,79.3333333333333,99,47,41.66667,52.66667,0.02376023,0.000526408141779259,1,35.6605,238,238,438,1,1,1,0,1,33.8571999999999,238,238,438,1,1,1,0,1,35.6549,238,238,438,1,1,1,0,1,36.2501999999999,238,238,438,1,1,1,0,
warehouse-10-20-10-2-1,63,161,4,4444,1,625,0.4381347,75,158,3,30.9,66.9,0.02967564,0.000701877522372346,1,50.4131,300,300,560,1,1,1,0,1,43.6415,300,300,560,1,1,1,0,1,43.9162999999999,300,300,560,1,1,1,0,1,31.9832000000001,300,300,560,1,1,1,0,
warehouse-10-20-10-2-1,63,161,5,4444,1,3125,0.4381347,99,145,55,28.53333,48.8,0.04683033,0.000877346902965433,1,50.4796000000001,495,495,749,1,1,1,0,1,55.6012000000001,495,495,749,1,1,1,0,1,54.1603,495,495,749,1,1,1,0,1,50.7359000000001,495,495,749,1,1,1,0,
warehouse-10-20-10-2-1,63,161,6,4444,1,15625,0.4381347,107.5,187,12,72.95238,62.04762,0.06221039,0.00105281628355852,1,51.8022000000001,645,645,1155,1,1,1,0,1,55.1207000000004,645,645,1155,1,1,1,0,1,57.3049000000001,645,645,1155,1,1,1,0,1,57.1480000000001,645,645,1155,1,1,1,0,
warehouse-10-20-10-2-1,63,161,7,4444,1,78125,0.4381347,78.8571428571429,143,23,68,69.64286,0.0430839,0.00122828566415161,1,76.7982999999999,552,555,947,1,1,1,0,1,63.9098000000004,552,555,947,1,1,1,0,1,63.8300000000004,552,555,947,1,1,1,0,1,50.4331999999999,552,555,947,1,1,1,0,
warehouse-10-20-10-2-1,63,161,8,4444,1,390625,0.4381347,124.75,179,31,76.30556,70.30556,0.08725229,0.00140375504474469,1,69.5679999999998,998,998,1719,1,1,1,0,1,77.9117000000001,998,998,1719,1,1,1,0,1,80.6779999999999,998,998,1719,1,1,1,0,1,83.9547000000002,998,998,1719,1,1,1,0,
warehouse-10-20-10-2-1,63,161,9,4444,1,1953125,0.4381347,122.888888888889,193,46,60.88889,74.93333,0.09612541,0.00157922442533778,1,106.4457,1106,1106,1869,1,1,1,0,1,92.0702000000001,1106,1106,1869,1,1,1,0,1,81.3581000000004,1106,1106,1869,1,1,1,0,1,91.7696999999998,1106,1106,1869,1,1,1,0,
warehouse-10-20-10-2-1,63,161,10,4444,1,9765625,0.4381347,86.2,166,6,54.67273,80.92727,0.07285813,0.00175469380593087,1,92.3242,862,862,1442,1,1,1,0,1,86.5914000000002,862,862,1442,1,1,1,0,1,84.9303,862,862,1442,1,1,1,0,1,102.0621,862,862,1442,1,1,1,0,
