GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,
warehouse-10-20-10-2-1,63,161,25,4444,1,2.98023223876953E+17,0.4381347,94.4,179,10,80.97231,75.63692,0.1951099,0.00438673451482716,1,39491.4632,2360,3244,5057,1,1,1,0,1,3395.4708,2360,3244,5057,1,1,1,0,
warehouse-10-20-10-2-1,63,161,7,4444,10,78125,0.4381347,84.1428571428571,178,9,61.64286,68.92857,0.05856255,0.00122828566415161,1,941.3098,589,589,952,1,1,1,0,1,2857.8311,589,589,952,1,1,1,0,
warehouse-10-20-10-2-1,63,161,8,4444,10,390625,0.4381347,88,178,9,64.02778,69.58334,0.06980184,0.00140375504474469,1,58.6558000000005,704,704,1123,1,1,1,0,1,80.3998000000011,704,704,1123,1,1,1,0,
warehouse-10-20-10-2-1,63,161,9,4444,10,1953125,0.4381347,99.8888888888889,195,9,68.17778,77.06667,0.08902691,0.00157922442533778,1,59.3451000000005,899,899,1507,1,1,1,0,1,65.4868000000006,899,899,1507,1,1,1,0,
warehouse-10-20-10-2-1,63,161,10,4444,10,9765625,0.4381347,99.7,195,9,73.50909,76.54546,0.09849157,0.00175469380593087,1,103.265300000001,997,997,1658,1,1,1,0,1,92.0199999999986,997,997,1658,1,1,1,0,
