GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,ICTS 3E +ID+AS Success,ICTS 3E +ID+AS Runtime,ICTS 3E +ID+AS Solution Cost,ICTS 3E +ID+AS Expanded,ICTS 3E +ID+AS Generated,ICTS 3E +ID+AS Max Group Size,ICTS 3E +ID+AS Min Group Size,ICTS 3E +ID+AS Max Group,ICTS 3E +ID+AS Solution Depth,EPEA*+ID+AS Success,EPEA*+ID+AS Runtime,EPEA*+ID+AS Solution Cost,EPEA*+ID+AS Expanded,EPEA*+ID+AS Generated,EPEA*+ID+AS Max Group Size,EPEA*+ID+AS Min Group Size,EPEA*+ID+AS Max Group,EPEA*+ID+AS Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth
Berlin_1_256,256,256,18,17996,1,3.8147E+12,0.2745972,260.1111111,454,5,189.3275,179.4795,0.05172729,0,1,447.5963,4682,5053,12595,1,1,1,0,1,487.1891,4682,5053,12595,1,1,1,0,1,491.7525,4682,5053,12595,1,1,1,0,1,480.1648,4682,5053,12595,1,1,1,0
Boston_0_256,256,256,2,17768,1,25,0.2711182,180.5,192,169,76,43,0.00553894,0,1,17.8578,361,361,1634,1,1,1,0,1,19.5493,361,361,1634,1,1,1,0,1,17.928,361,361,1634,1,1,1,0,1,26.8017,361,361,1634,1,1,1,0
Boston_0_256,256,256,3,17768,1,125,0.2711182,209,320,98,109.6667,62,0.009033203,0,1,39.1561,627,627,2860,1,1,1,0,1,33.9108,627,627,2860,1,1,1,0,1,32.8946,627,627,2860,1,1,1,0,1,34.5962,627,627,2860,1,1,1,0
Boston_0_256,256,256,4,17768,1,625,0.2711182,201.5,339,35,52.8,133.6,0.01231384,0,1,41.685,806,806,3704,1,1,1,0,1,54.245,806,806,3704,1,1,1,0,1,45.6937,806,806,3704,1,1,1,0,1,55.5624,806,806,3704,1,1,1,0
Boston_0_256,256,256,5,17768,1,3125,0.2711182,271.8,450,61,198.9333,192.8,0.02053833,0,1,91.1357,1359,1359,6034,1,1,1,0,1,89.4169,1359,1359,6034,1,1,1,0,1,79.9768,1359,1359,6034,1,1,1,0,1,84.9432,1359,1359,6034,1,1,1,0
Boston_0_256,256,256,6,17768,1,15625,0.2711182,191,315,96,118.4286,127.9524,0.01756287,0,1,80.5664,1146,1146,5264,1,1,1,0,1,87.482,1146,1146,5264,1,1,1,0,1,84.828,1146,1146,5264,1,1,1,0,1,80.5161,1146,1146,5264,1,1,1,0
Boston_0_256,256,256,7,17768,1,78125,0.2711182,302.4285714,458,6,134.6429,182.2143,0.02690125,0,1,130.9228,2117,2117,9664,1,1,1,0,1,148.7963,2117,2117,9664,1,1,1,0,1,138.5276,2117,2117,9664,1,1,1,0,1,120.8438,2117,2117,9664,1,1,1,0
Boston_0_256,256,256,8,17768,1,390625,0.2711182,351.625,459,193,208.5,212.75,0.02261353,0,1,168.9639,2813,2814,12684,1,1,1,0,1,170.4067,2813,2814,12684,1,1,1,0,1,177.914,2813,2814,12684,1,1,1,0,1,164.4921,2813,2814,12684,1,1,1,0
Boston_0_256,256,256,9,17768,1,1953125,0.2711182,242.1111111,435,83,166.6222,179.6,0.02819824,0,1,159.6272,2179,2179,9763,1,1,1,0,1,160.7649,2179,2179,9763,1,1,1,0,1,163.1602,2179,2179,9763,1,1,1,0,1,165.4698,2179,2179,9763,1,1,1,0
Boston_0_256,256,256,10,17768,1,9765625,0.2711182,262.9,437,27,148.3455,221.8182,0.03398132,0,1,184.7783,2629,2629,11953,1,1,1,0,1,215.4773,2629,2629,11953,1,1,1,0,1,194.8484,2629,2629,11953,1,1,1,0,1,194.5661,2629,2629,11953,1,1,1,0
,,,,,,,,,,,,,,,,188.6598923,,,,,,,,,172.8604808,,,,,,,,,165.1865192,,,,,,,,,166.0126346,,,,,,,
