GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Success,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Runtime,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Solution Cost,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Expanded,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Generated,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Max Group Size,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Min Group Size,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Max Group,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Solution Depth,
warehouse-10-20-10-2-1,63,161,2,4444,1,25,0.4381347,109,120,98,14.66667,11.33333,0.02168984,0.000350938761186173,1,732.9413,218,218,356,1,1,1,0,1,25.6564000000001,218,218,356,1,1,1,0,1,26.018,218,218,356,1,1,1,0,
warehouse-10-20-10-2-1,63,161,3,4444,1,125,0.4381347,95.6666666666667,120,69,33,38.33333,0.02415459,0.000526408141779259,1,37.6320000000001,287,287,443,1,1,1,0,1,33.6283000000001,287,287,443,1,1,1,0,1,33.8682000000001,287,287,443,1,1,1,0,
warehouse-10-20-10-2-1,63,161,4,4444,1,625,0.4381347,111.5,159,69,44,58.8,0.03973183,0.000701877522372346,1,44.4159,446,446,719,1,1,1,0,1,45.4223000000002,446,446,719,1,1,1,0,1,43.0322999999999,446,446,719,1,1,1,0,
warehouse-10-20-10-2-1,63,161,5,4444,1,3125,0.4381347,91.2,159,10,45.2,57.73333,0.04081633,0.000877346902965433,1,77.2915,456,456,750,1,1,1,0,1,137.697,456,456,750,1,1,1,0,1,80.9921999999997,456,456,750,1,1,1,0,
warehouse-10-20-10-2-1,63,161,6,4444,1,15625,0.4381347,80.5,159,10,55.09524,63.71429,0.04347826,0.00105281628355852,1,71.1474999999996,483,483,806,1,1,1,0,1,72.5092,483,483,806,1,1,1,0,1,71.5566000000003,483,483,806,1,1,1,0,
warehouse-10-20-10-2-1,63,161,7,4444,1,78125,0.4381347,81.1428571428571,159,10,55.21429,65.28571,0.05195701,0.00122828566415161,1,91.6923000000002,568,568,945,1,1,1,0,1,77.0643999999998,568,568,945,1,1,1,0,1,72.2501000000002,568,568,945,1,1,1,0,
warehouse-10-20-10-2-1,63,161,8,4444,1,390625,0.4381347,92.75,174,10,61.55556,66.16666,0.06881593,0.00140375504474469,1,109.5977,742,742,1265,1,1,1,0,1,79.4380000000001,742,742,1265,1,1,1,0,1,79.1403,742,742,1265,1,1,1,0,
